frame,tempo,atividade/emocao
95,00:03,neutro
95,00:03,neutro
95,00:03,triste
95,00:03,triste
96,00:03,neutro
96,00:03,triste
96,00:03,neutro
96,00:03,triste
96,00:03,mao no rosto
97,00:03,neutro
97,00:03,triste
97,00:03,neutro
97,00:03,medo
98,00:03,neutro
98,00:03,neutro
98,00:03,triste
98,00:03,medo
99,00:03,triste
99,00:03,triste
99,00:03,feliz
99,00:03,medo
100,00:03,neutro
100,00:03,triste
100,00:03,neutro
100,00:03,triste
101,00:03,neutro
101,00:03,triste
101,00:03,neutro
101,00:03,medo
102,00:03,neutro
102,00:03,triste
102,00:03,neutro
102,00:03,triste
103,00:03,neutro
103,00:03,bravo
103,00:03,neutro
103,00:03,medo
104,00:03,neutro
104,00:03,neutro
104,00:03,bravo
104,00:03,medo
105,00:03,neutro
105,00:03,neutro
105,00:03,bravo
105,00:03,medo
106,00:03,neutro
106,00:03,neutro
106,00:03,bravo
106,00:03,triste
107,00:03,neutro
107,00:03,neutro
107,00:03,bravo
107,00:03,triste
108,00:03,neutro
108,00:03,bravo
108,00:03,neutro
108,00:03,triste
109,00:03,feliz
109,00:03,neutro
109,00:03,bravo
109,00:03,triste
110,00:03,feliz
110,00:03,neutro
110,00:03,bravo
110,00:03,triste
111,00:03,feliz
111,00:03,feliz
111,00:03,bravo
112,00:03,neutro
112,00:03,feliz
112,00:03,bravo
113,00:03,neutro
113,00:03,bravo
113,00:03,feliz
114,00:03,bravo
114,00:03,neutro
114,00:03,feliz
115,00:03,bravo
115,00:03,neutro
115,00:03,neutro
116,00:03,bravo
116,00:03,neutro
116,00:03,feliz
117,00:03,bravo
117,00:03,neutro
117,00:03,neutro
118,00:03,bravo
118,00:03,neutro
118,00:03,neutro
118,00:03,triste
119,00:03,bravo
119,00:03,neutro
119,00:03,neutro
120,00:04,bravo
120,00:04,neutro
120,00:04,triste
121,00:04,bravo
121,00:04,triste
122,00:04,bravo
122,00:04,triste
123,00:04,bravo
123,00:04,triste
123,00:04,medo
124,00:04,bravo
125,00:04,bravo
126,00:04,triste
127,00:04,bravo
128,00:04,bravo
139,00:04,neutro
140,00:04,neutro
181,00:06,feliz
182,00:06,feliz
183,00:06,feliz
184,00:06,feliz
185,00:06,feliz
186,00:06,feliz
187,00:06,feliz
188,00:06,feliz
188,00:06,mao no rosto
189,00:06,feliz
189,00:06,mao no rosto
190,00:06,feliz
190,00:06,mao no rosto
191,00:06,feliz
191,00:06,mao levantada
191,00:06,mao no rosto
192,00:06,feliz
192,00:06,mao levantada
192,00:06,mao no rosto
193,00:06,feliz
193,00:06,mao levantada
193,00:06,mao no rosto
194,00:06,feliz
194,00:06,mao levantada
194,00:06,mao no rosto
195,00:06,feliz
195,00:06,mao levantada
195,00:06,mao no rosto
196,00:06,feliz
196,00:06,mao levantada
197,00:06,feliz
197,00:06,mao levantada
198,00:06,feliz
198,00:06,mao levantada
199,00:06,feliz
199,00:06,mao levantada
